transaction_id,fraud_chance,listed_as_suspicious,user_related_suspicion_count,merchant_related_suspicion_count
21322421.0,high,True,6,3
21321210.0,high,True,13,7
21322443.0,high,True,6,17
21323320.0,high,True,9,13
21320863.0,high,True,2,2
21322447.0,high,True,21,21
21320870.0,high,True,4,4
21320872.0,high,True,2,2
21321132.0,high,True,13,14
21321129.0,high,True,13,14
21323321.0,high,True,9,13
21322200.0,high,True,2,2
21322090.0,high,True,12,9
21323326.0,high,True,9,13
21321127.0,high,True,13,14
21321174.0,high,True,17,5
21322458.0,high,True,21,21
21321125.0,high,True,17,14
21321122.0,high,True,13,14
21321121.0,high,True,13,14
21321781.0,high,True,21,21
21323327.0,high,True,9,13
21323328.0,high,True,9,13
21323325.0,high,True,9,13
21321107.0,high,True,13,14
21321203.0,high,True,13,7
21322621.0,high,True,12,9
21322050.0,high,True,21,21
21322413.0,high,True,21,21
21321452.0,high,True,0,10
21322414.0,high,True,21,21
21321159.0,high,True,2,5
21320817.0,high,True,4,4
21321158.0,high,True,17,5
21321447.0,high,True,3,10
21321453.0,high,True,0,10
21321156.0,high,True,2,5
21320854.0,high,True,4,8
21321180.0,high,True,21,21
21321505.0,high,True,30,30
21321153.0,high,True,17,5
21321455.0,high,True,3,10
21322063.0,high,True,21,21
21322067.0,high,True,21,21
21321196.0,high,True,17,7
21321821.0,high,True,3,0
21321147.0,high,True,17,5
21320844.0,high,True,4,4
21321142.0,high,True,6,9
21322059.0,high,True,21,21
21323329.0,high,True,9,13
21321126.0,high,True,17,14
21323331.0,high,True,9,13
21321236.0,high,True,17,4
21321258.0,high,True,17,7
21321670.0,high,True,30,30
21321486.0,high,True,21,21
21321539.0,high,True,21,21
21321253.0,high,True,4,8
21321216.0,high,True,17,7
21320586.0,high,True,30,7
21321226.0,high,True,13,7
21323330.0,high,True,9,13
21321676.0,high,True,30,30
21321533.0,high,True,21,21
21321687.0,high,True,12,2
21321494.0,high,True,21,21
21322105.0,high,True,12,9
21320602.0,high,True,30,7
21320575.0,high,True,30,7
21321691.0,high,True,12,9
21322672.0,high,True,4,17
21323288.0,medium-high,True,3,3
21321574.0,medium-high,True,30,30
21322379.0,medium-high,True,0,4
21321188.0,medium-high,True,5,2
21320759.0,medium-high,True,4,8
21321192.0,medium-high,True,30,30
21321874.0,medium-high,True,30,30
21321524.0,medium-high,True,2,10
21322311.0,medium-high,True,2,3
21323284.0,medium-high,True,3,3
21322914.0,medium-high,True,12,7
21322654.0,medium-high,True,0,11
21320649.0,medium-high,True,6,9
21321520.0,medium-high,True,2,10
21320776.0,medium-high,True,0,3
21322296.0,medium-high,True,2,3
